Linha,205
Tabela,005-2
num,ponto,horario
101161,TRAVESSA MOREIRA GARCEZ,16:56
104103,TERMINAL BARREIRINHA,17:31
101161,TRAVESSA MOREIRA GARCEZ,17:59
104103,TERMINAL BARREIRINHA,18:40
101161,TRAVESSA MOREIRA GARCEZ,19:08
104103,TERMINAL BARREIRINHA,19:39
101161,TRAVESSA MOREIRA GARCEZ,20:02
104103,TERMINAL BARREIRINHA,20:25
101161,TRAVESSA MOREIRA GARCEZ,20:47
104103,TERMINAL BARREIRINHA,21:10
101161,TRAVESSA MOREIRA GARCEZ,21:32
104103,TERMINAL BARREIRINHA,21:55
101161,TRAVESSA MOREIRA GARCEZ,22:17
104103,TERMINAL BARREIRINHA,22:40
101161,TRAVESSA MOREIRA GARCEZ,23:02
104103,TERMINAL BARREIRINHA,23:25
101161,TRAVESSA MOREIRA GARCEZ,23:47
