Linha,205
Tabela,002-2
num,ponto,horario
101161,TRAVESSA MOREIRA GARCEZ,17:05
104103,TERMINAL BARREIRINHA,17:44
101161,TRAVESSA MOREIRA GARCEZ,18:12
104103,TERMINAL BARREIRINHA,19:00
101161,TRAVESSA MOREIRA GARCEZ,19:26
104103,TERMINAL BARREIRINHA,19:52
101161,TRAVESSA MOREIRA GARCEZ,20:12
104103,TERMINAL BARREIRINHA,20:38
101161,TRAVESSA MOREIRA GARCEZ,21:00
104103,TERMINAL BARREIRINHA,21:26
101161,TRAVESSA MOREIRA GARCEZ,21:47
104103,TERMINAL BARREIRINHA,22:12
101161,TRAVESSA MOREIRA GARCEZ,22:32
104103,TERMINAL BARREIRINHA,22:58
101161,TRAVESSA MOREIRA GARCEZ,23:18
104103,TERMINAL BARREIRINHA,23:46
101161,TRAVESSA MOREIRA GARCEZ,00:06
