Linha,524
Tabela,001
num,ponto,horario
106113,S.CERCADO SENT.BAIRRO NOVO B,04:55
106105,S.CERCADO SENT.BAIRRO NOVO C,05:18
106113,S.CERCADO SENT.BAIRRO NOVO B,05:35
106105,S.CERCADO SENT.BAIRRO NOVO C,05:59
106113,S.CERCADO SENT.BAIRRO NOVO B,06:17
106105,S.CERCADO SENT.BAIRRO NOVO C,06:41
106113,S.CERCADO SENT.BAIRRO NOVO B,06:59
106105,S.CERCADO SENT.BAIRRO NOVO C,07:23
106113,S.CERCADO SENT.BAIRRO NOVO B,07:41
106105,S.CERCADO SENT.BAIRRO NOVO C,08:05
106113,S.CERCADO SENT.BAIRRO NOVO B,08:23
106105,S.CERCADO SENT.BAIRRO NOVO C,08:47
106113,S.CERCADO SENT.BAIRRO NOVO B,09:05
106105,S.CERCADO SENT.BAIRRO NOVO C,09:29
106113,S.CERCADO SENT.BAIRRO NOVO B,09:47
106105,S.CERCADO SENT.BAIRRO NOVO C,10:11
106113,S.CERCADO SENT.BAIRRO NOVO B,10:29
106105,S.CERCADO SENT.BAIRRO NOVO C,10:53
106113,S.CERCADO SENT.BAIRRO NOVO B,11:11
106105,S.CERCADO SENT.BAIRRO NOVO C,11:35
106113,S.CERCADO SENT.BAIRRO NOVO B,11:53
106105,S.CERCADO SENT.BAIRRO NOVO C,12:17
106113,S.CERCADO SENT.BAIRRO NOVO B,12:35
106105,S.CERCADO SENT.BAIRRO NOVO C,12:59
106113,S.CERCADO SENT.BAIRRO NOVO B,13:17
106105,S.CERCADO SENT.BAIRRO NOVO C,13:41
106113,S.CERCADO SENT.BAIRRO NOVO B,13:59
106105,S.CERCADO SENT.BAIRRO NOVO C,14:23
106113,S.CERCADO SENT.BAIRRO NOVO B,14:41
106105,S.CERCADO SENT.BAIRRO NOVO C,15:05
106113,S.CERCADO SENT.BAIRRO NOVO B,15:23
106105,S.CERCADO SENT.BAIRRO NOVO C,15:47
106113,S.CERCADO SENT.BAIRRO NOVO B,16:05
106105,S.CERCADO SENT.BAIRRO NOVO C,16:29
106113,S.CERCADO SENT.BAIRRO NOVO B,16:47
106105,S.CERCADO SENT.BAIRRO NOVO C,17:11
106113,S.CERCADO SENT.BAIRRO NOVO B,17:29
106105,S.CERCADO SENT.BAIRRO NOVO C,17:53
106113,S.CERCADO SENT.BAIRRO NOVO B,18:11
106105,S.CERCADO SENT.BAIRRO NOVO C,18:35
106113,S.CERCADO SENT.BAIRRO NOVO B,18:53
106105,S.CERCADO SENT.BAIRRO NOVO C,19:17
106113,S.CERCADO SENT.BAIRRO NOVO B,19:34
106105,S.CERCADO SENT.BAIRRO NOVO C,19:57
106113,S.CERCADO SENT.BAIRRO NOVO B,20:14
106105,S.CERCADO SENT.BAIRRO NOVO C,20:37
106113,S.CERCADO SENT.BAIRRO NOVO B,20:54
106105,S.CERCADO SENT.BAIRRO NOVO C,21:17
106113,S.CERCADO SENT.BAIRRO NOVO B,21:34
106105,S.CERCADO SENT.BAIRRO NOVO C,21:57
106113,S.CERCADO SENT.BAIRRO NOVO B,22:14
106105,S.CERCADO SENT.BAIRRO NOVO C,22:37
106113,S.CERCADO SENT.BAIRRO NOVO B,22:54
106105,S.CERCADO SENT.BAIRRO NOVO C,23:17
106113,S.CERCADO SENT.BAIRRO NOVO B,23:34
106105,S.CERCADO SENT.BAIRRO NOVO C,23:55
106113,S.CERCADO SENT.BAIRRO NOVO B,00:10
