Linha,967
Tabela,001
num,ponto,horario
190539,BAIRRO JULIO GRAF,05:30
101014,PRACA TIRADENTES,05:55
190539,BAIRRO JULIO GRAF,06:20
101014,PRACA TIRADENTES,06:48
190539,BAIRRO JULIO GRAF,07:13
101014,PRACA TIRADENTES,07:41
190539,BAIRRO JULIO GRAF,08:06
101014,PRACA TIRADENTES,08:34
190539,BAIRRO JULIO GRAF,08:59
101014,PRACA TIRADENTES,09:25
190539,BAIRRO JULIO GRAF,09:50
101014,PRACA TIRADENTES,10:16
190539,BAIRRO JULIO GRAF,10:41
101014,PRACA TIRADENTES,11:07
190539,BAIRRO JULIO GRAF,11:32
101014,PRACA TIRADENTES,11:58
190539,BAIRRO JULIO GRAF,12:25
101014,PRACA TIRADENTES,12:53
190539,BAIRRO JULIO GRAF,13:20
101014,PRACA TIRADENTES,13:48
190539,BAIRRO JULIO GRAF,14:15
101014,PRACA TIRADENTES,14:42
190539,BAIRRO JULIO GRAF,15:09
101014,PRACA TIRADENTES,15:36
190539,BAIRRO JULIO GRAF,16:04
101014,PRACA TIRADENTES,16:35
190539,BAIRRO JULIO GRAF,17:10
101014,PRACA TIRADENTES,17:39
190539,BAIRRO JULIO GRAF,18:12
101014,PRACA TIRADENTES,18:45
