Linha,967
Tabela,002
num,ponto,horario
190539,BAIRRO JULIO GRAF,05:55
101014,PRACA TIRADENTES,06:21
190539,BAIRRO JULIO GRAF,06:46
101014,PRACA TIRADENTES,07:14
190539,BAIRRO JULIO GRAF,07:39
101014,PRACA TIRADENTES,08:07
190539,BAIRRO JULIO GRAF,08:32
101014,PRACA TIRADENTES,09:00
190539,BAIRRO JULIO GRAF,09:25
101014,PRACA TIRADENTES,09:51
190539,BAIRRO JULIO GRAF,10:16
101014,PRACA TIRADENTES,10:42
190539,BAIRRO JULIO GRAF,11:07
101014,PRACA TIRADENTES,11:33
190539,BAIRRO JULIO GRAF,11:59
101014,PRACA TIRADENTES,12:25
190539,BAIRRO JULIO GRAF,12:52
101014,PRACA TIRADENTES,13:20
190539,BAIRRO JULIO GRAF,13:47
101014,PRACA TIRADENTES,14:15
190539,BAIRRO JULIO GRAF,14:42
101014,PRACA TIRADENTES,15:09
190539,BAIRRO JULIO GRAF,15:36
101014,PRACA TIRADENTES,16:05
190539,BAIRRO JULIO GRAF,16:35
101014,PRACA TIRADENTES,17:07
190539,BAIRRO JULIO GRAF,17:39
101014,PRACA TIRADENTES,18:12
190539,BAIRRO JULIO GRAF,18:44
101014,PRACA TIRADENTES,19:18
190539,BAIRRO JULIO GRAF,19:47
101014,PRACA TIRADENTES,20:12
190539,BAIRRO JULIO GRAF,20:36
101014,PRACA TIRADENTES,21:00
190539,BAIRRO JULIO GRAF,21:24
101014,PRACA TIRADENTES,21:48
190539,BAIRRO JULIO GRAF,22:12
101014,PRACA TIRADENTES,22:36
190539,BAIRRO JULIO GRAF,23:00
101014,PRACA TIRADENTES,23:25
190539,BAIRRO JULIO GRAF,23:50
101014,PRACA TIRADENTES,00:15
