Linha,515
Tabela,003
num,ponto,horario
104309,TERMINAL BOQUEIRAO,05:13
105508,TERMINAL HAUER,05:34
104309,TERMINAL BOQUEIRAO,05:55
105508,TERMINAL HAUER,06:21
104309,TERMINAL BOQUEIRAO,06:49
105508,TERMINAL HAUER,07:15
104309,TERMINAL BOQUEIRAO,07:43
105508,TERMINAL HAUER,08:10
104309,TERMINAL BOQUEIRAO,08:34
105508,TERMINAL HAUER,08:58
104309,TERMINAL BOQUEIRAO,09:20
105508,TERMINAL HAUER,09:44
104309,TERMINAL BOQUEIRAO,10:07
105508,TERMINAL HAUER,10:30
104309,TERMINAL BOQUEIRAO,10:53
105508,TERMINAL HAUER,11:16
104309,TERMINAL BOQUEIRAO,11:39
105508,TERMINAL HAUER,12:02
104309,TERMINAL BOQUEIRAO,12:25
105508,TERMINAL HAUER,12:48
104309,TERMINAL BOQUEIRAO,13:11
105508,TERMINAL HAUER,13:34
104309,TERMINAL BOQUEIRAO,13:57
105508,TERMINAL HAUER,14:20
104309,TERMINAL BOQUEIRAO,14:43
105508,TERMINAL HAUER,15:06
104309,TERMINAL BOQUEIRAO,15:29
105508,TERMINAL HAUER,15:52
104309,TERMINAL BOQUEIRAO,16:16
105508,TERMINAL HAUER,16:52
104309,TERMINAL BOQUEIRAO,17:22
105508,TERMINAL HAUER,17:53
104309,TERMINAL BOQUEIRAO,18:23
105508,TERMINAL HAUER,18:54
104309,TERMINAL BOQUEIRAO,19:24
105508,TERMINAL HAUER,19:55
