Linha,646
Tabela,005-2
num,ponto,horario
105721,TERMINAL PINHEIRINHO,17:04
170401,BAIRRO VIVENDAS JANAINA,17:45
170907,BAIRRO POMPEIA,17:51
105721,TERMINAL PINHEIRINHO,18:35
170401,BAIRRO VIVENDAS JANAINA,19:21
170907,BAIRRO POMPEIA,19:26
105721,TERMINAL PINHEIRINHO,19:59
170401,BAIRRO VIVENDAS JANAINA,20:31
170907,BAIRRO POMPEIA,20:36
105721,TERMINAL PINHEIRINHO,21:03
170401,BAIRRO VIVENDAS JANAINA,21:35
170907,BAIRRO POMPEIA,21:40
105721,TERMINAL PINHEIRINHO,22:07
170401,BAIRRO VIVENDAS JANAINA,22:39
170907,BAIRRO POMPEIA,22:44
105721,TERMINAL PINHEIRINHO,23:11
170401,BAIRRO VIVENDAS JANAINA,23:43
170907,BAIRRO POMPEIA,23:48
105721,TERMINAL PINHEIRINHO,00:15
