Linha,646
Tabela,003
num,ponto,horario
171090,RUA URIEL NOGUEIRA DOS SANTOS,05:07
170401,BAIRRO VIVENDAS JANAINA,05:11
170907,BAIRRO POMPEIA,05:19
105721,TERMINAL PINHEIRINHO,05:55
170401,BAIRRO VIVENDAS JANAINA,06:28
170907,BAIRRO POMPEIA,06:36
105721,TERMINAL PINHEIRINHO,07:22
170401,BAIRRO VIVENDAS JANAINA,07:56
170907,BAIRRO POMPEIA,08:04
105721,TERMINAL PINHEIRINHO,08:47
170401,BAIRRO VIVENDAS JANAINA,09:23
170907,BAIRRO POMPEIA,09:29
105721,TERMINAL PINHEIRINHO,10:02
170401,BAIRRO VIVENDAS JANAINA,10:38
170907,BAIRRO POMPEIA,10:44
105721,TERMINAL PINHEIRINHO,11:17
170401,BAIRRO VIVENDAS JANAINA,11:53
170907,BAIRRO POMPEIA,11:59
105721,TERMINAL PINHEIRINHO,12:32
170401,BAIRRO VIVENDAS JANAINA,13:10
170907,BAIRRO POMPEIA,13:16
105721,TERMINAL PINHEIRINHO,13:49
170401,BAIRRO VIVENDAS JANAINA,14:28
170907,BAIRRO POMPEIA,14:34
105721,TERMINAL PINHEIRINHO,15:07
170401,BAIRRO VIVENDAS JANAINA,15:46
170907,BAIRRO POMPEIA,15:52
105721,TERMINAL PINHEIRINHO,16:25
170401,BAIRRO VIVENDAS JANAINA,17:06
170907,BAIRRO POMPEIA,17:12
105721,TERMINAL PINHEIRINHO,17:56
170401,BAIRRO VIVENDAS JANAINA,18:40
170907,BAIRRO POMPEIA,18:46
105721,TERMINAL PINHEIRINHO,19:24
170401,BAIRRO VIVENDAS JANAINA,19:56
170907,BAIRRO POMPEIA,20:01
105721,TERMINAL PINHEIRINHO,20:31
170401,BAIRRO VIVENDAS JANAINA,21:03
170907,BAIRRO POMPEIA,21:08
105721,TERMINAL PINHEIRINHO,21:35
170401,BAIRRO VIVENDAS JANAINA,22:07
170907,BAIRRO POMPEIA,22:12
105721,TERMINAL PINHEIRINHO,22:39
170401,BAIRRO VIVENDAS JANAINA,23:11
170907,BAIRRO POMPEIA,23:16
105721,TERMINAL PINHEIRINHO,23:43
