Linha,828
Tabela,001
num,ponto,horario
104613,TERMINAL CAMPO COMPRIDO,05:40
105308,T.FAZENDINHA SENTIDO T.C.RASO,06:03
104810,TERMINAL CAPAO RASO,06:18
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,06:32
104613,TERMINAL CAMPO COMPRIDO,07:00
105308,T.FAZENDINHA SENTIDO T.C.RASO,07:23
104810,TERMINAL CAPAO RASO,07:38
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,07:52
104613,TERMINAL CAMPO COMPRIDO,08:20
105308,T.FAZENDINHA SENTIDO T.C.RASO,08:43
104810,TERMINAL CAPAO RASO,08:58
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,09:12
104613,TERMINAL CAMPO COMPRIDO,09:40
105308,T.FAZENDINHA SENTIDO T.C.RASO,10:03
104810,TERMINAL CAPAO RASO,10:18
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,10:32
104613,TERMINAL CAMPO COMPRIDO,11:00
105308,T.FAZENDINHA SENTIDO T.C.RASO,11:23
104810,TERMINAL CAPAO RASO,11:38
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,11:52
104613,TERMINAL CAMPO COMPRIDO,12:20
105308,T.FAZENDINHA SENTIDO T.C.RASO,12:43
104810,TERMINAL CAPAO RASO,12:58
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,13:12
104613,TERMINAL CAMPO COMPRIDO,13:40
105308,T.FAZENDINHA SENTIDO T.C.RASO,14:03
104810,TERMINAL CAPAO RASO,14:18
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,14:32
104613,TERMINAL CAMPO COMPRIDO,15:00
105308,T.FAZENDINHA SENTIDO T.C.RASO,15:23
104810,TERMINAL CAPAO RASO,15:38
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,15:52
104613,TERMINAL CAMPO COMPRIDO,16:20
105308,T.FAZENDINHA SENTIDO T.C.RASO,16:44
104810,TERMINAL CAPAO RASO,17:00
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,17:14
104613,TERMINAL CAMPO COMPRIDO,17:42
105308,T.FAZENDINHA SENTIDO T.C.RASO,18:06
104810,TERMINAL CAPAO RASO,18:22
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,18:36
104613,TERMINAL CAMPO COMPRIDO,19:05
105308,T.FAZENDINHA SENTIDO T.C.RASO,19:28
104810,TERMINAL CAPAO RASO,19:43
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,19:57
104613,TERMINAL CAMPO COMPRIDO,20:25
105308,T.FAZENDINHA SENTIDO T.C.RASO,20:48
104810,TERMINAL CAPAO RASO,21:03
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,21:17
104613,TERMINAL CAMPO COMPRIDO,21:45
105308,T.FAZENDINHA SENTIDO T.C.RASO,22:08
104810,TERMINAL CAPAO RASO,22:23
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,22:37
104613,TERMINAL CAMPO COMPRIDO,23:05
105308,T.FAZENDINHA SENTIDO T.C.RASO,23:28
104810,TERMINAL CAPAO RASO,23:45
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,23:59
