Linha,826
Tabela,002-2
num,ponto,horario
105205,TERMINAL CIC,16:00
105008,TERM.CAIUA SENTIDO TERM.C.COMP,16:18
104615,TERMINAL CAMPO COMPRIDO,16:47
105006,TERM. CAIUA SENTIDO CIC,17:09
105205,TERMINAL CIC,17:32
105008,TERM.CAIUA SENTIDO TERM.C.COMP,17:55
104615,TERMINAL CAMPO COMPRIDO,18:23
105006,TERM. CAIUA SENTIDO CIC,18:44
105205,TERMINAL CIC,19:07
105008,TERM.CAIUA SENTIDO TERM.C.COMP,19:24
104615,TERMINAL CAMPO COMPRIDO,19:44
105006,TERM. CAIUA SENTIDO CIC,20:03
105205,TERMINAL CIC,20:19
105008,TERM.CAIUA SENTIDO TERM.C.COMP,20:34
104615,TERMINAL CAMPO COMPRIDO,20:50
105006,TERM. CAIUA SENTIDO CIC,21:05
105205,TERMINAL CIC,21:21
105008,TERM.CAIUA SENTIDO TERM.C.COMP,21:34
104615,TERMINAL CAMPO COMPRIDO,21:53
105006,TERM. CAIUA SENTIDO CIC,22:08
105205,TERMINAL CIC,22:27
105008,TERM.CAIUA SENTIDO TERM.C.COMP,22:40
104615,TERMINAL CAMPO COMPRIDO,23:00
105006,TERM. CAIUA SENTIDO CIC,23:14
105205,TERMINAL CIC,23:33
105008,TERM.CAIUA SENTIDO TERM.C.COMP,23:43
104615,TERMINAL CAMPO COMPRIDO,00:00
105006,TERM. CAIUA SENTIDO CIC,00:14
