Linha,826
Tabela,006-2
num,ponto,horario
104615,TERMINAL CAMPO COMPRIDO,15:52
105006,TERM. CAIUA SENTIDO CIC,16:12
105205,TERMINAL CIC,16:34
105008,TERM.CAIUA SENTIDO TERM.C.COMP,16:55
104615,TERMINAL CAMPO COMPRIDO,17:23
105006,TERM. CAIUA SENTIDO CIC,17:44
105205,TERMINAL CIC,18:07
105008,TERM.CAIUA SENTIDO TERM.C.COMP,18:31
104615,TERMINAL CAMPO COMPRIDO,18:58
105006,TERM. CAIUA SENTIDO CIC,19:18
105205,TERMINAL CIC,19:36
105008,TERM.CAIUA SENTIDO TERM.C.COMP,19:51
104615,TERMINAL CAMPO COMPRIDO,20:07
105006,TERM. CAIUA SENTIDO CIC,20:22
105205,TERMINAL CIC,20:39
105008,TERM.CAIUA SENTIDO TERM.C.COMP,20:52
104615,TERMINAL CAMPO COMPRIDO,21:10
105006,TERM. CAIUA SENTIDO CIC,21:26
105205,TERMINAL CIC,21:43
105008,TERM.CAIUA SENTIDO TERM.C.COMP,21:56
104615,TERMINAL CAMPO COMPRIDO,22:16
105006,TERM. CAIUA SENTIDO CIC,22:31
105205,TERMINAL CIC,22:49
105008,TERM.CAIUA SENTIDO TERM.C.COMP,23:02
104615,TERMINAL CAMPO COMPRIDO,23:20
105006,TERM. CAIUA SENTIDO CIC,23:34
105205,TERMINAL CIC,23:55
105008,TERM.CAIUA SENTIDO TERM.C.COMP,00:05
