Linha,X93
Tabela,001
num,ponto,horario
141071,EMP. SÃO JOSÉ,06:00
109077,TUBO XAXIM (B),07:00
109076,TUBO XAPINHAL ,08:15
108104,ESTAÇÃO TUBO EUCALIPTOS (B),09:30
108088,ESTAÇÃO TUBO PASSARELA (B),11:00
141071,EMP. SÃO JOSÉ,12:00
109077,TUBO XAXIM (B),13:00
109076,TUBO XAPINHAL ,14:15
108104,ESTAÇÃO TUBO EUCALIPTOS (B),15:30
108088,ESTAÇÃO TUBO PASSARELA (B),17:00
141071,EMP. SÃO JOSÉ,18:00
109077,TUBO XAXIM (B),19:00
109076,TUBO XAPINHAL ,20:15
108104,ESTAÇÃO TUBO EUCALIPTOS (B),21:30
108088,ESTAÇÃO TUBO PASSARELA (B),23:00
