Linha,469
Tabela,003-3
num,ponto,horario
109058,ESTACAO TUBO PREFEITURA,17:07
109034,CENTRO POLITECNICO,17:42
109058,ESTACAO TUBO PREFEITURA,18:13
109034,CENTRO POLITECNICO,18:48
109058,ESTACAO TUBO PREFEITURA,19:19
109034,CENTRO POLITECNICO,19:48
109058,ESTACAO TUBO PREFEITURA,20:16
109034,CENTRO POLITECNICO,20:42
109058,ESTACAO TUBO PREFEITURA,21:08
109034,CENTRO POLITECNICO,21:35
109058,ESTACAO TUBO PREFEITURA,22:00
109034,CENTRO POLITECNICO,22:25
109058,ESTACAO TUBO PREFEITURA,22:50
109034,CENTRO POLITECNICO,23:15
