Linha,777
Tabela,001-2
num,ponto,horario
102009,PRACA RUI BARBOSA,16:31
180778,BAIRRO VILA VELHA,17:09
102009,PRACA RUI BARBOSA,17:49
180778,BAIRRO VILA VELHA,18:39
102009,PRACA RUI BARBOSA,19:14
180778,BAIRRO VILA VELHA,19:57
102009,PRACA RUI BARBOSA,20:27
180778,BAIRRO VILA VELHA,20:57
102009,PRACA RUI BARBOSA,21:26
180778,BAIRRO VILA VELHA,21:54
102009,PRACA RUI BARBOSA,22:21
180778,BAIRRO VILA VELHA,22:49
102009,PRACA RUI BARBOSA,23:16
180778,BAIRRO VILA VELHA,23:44
102009,PRACA RUI BARBOSA,00:10
