Linha,777
Tabela,002-2
num,ponto,horario
102009,PRACA RUI BARBOSA,15:56
180778,BAIRRO VILA VELHA,16:32
102009,PRACA RUI BARBOSA,17:09
180778,BAIRRO VILA VELHA,17:52
102009,PRACA RUI BARBOSA,18:32
180778,BAIRRO VILA VELHA,19:21
102009,PRACA RUI BARBOSA,19:56
180778,BAIRRO VILA VELHA,20:28
102009,PRACA RUI BARBOSA,20:58
180778,BAIRRO VILA VELHA,21:26
102009,PRACA RUI BARBOSA,21:54
180778,BAIRRO VILA VELHA,22:22
102009,PRACA RUI BARBOSA,22:49
180778,BAIRRO VILA VELHA,23:17
102009,PRACA RUI BARBOSA,23:43
180778,BAIRRO VILA VELHA,00:10
102009,PRACA RUI BARBOSA,00:35
