Linha,625
Tabela,003-2
num,ponto,horario
104812,TERMINAL CAPAO RASO,16:48
106112,TERMINAL SITIO CERCADO,17:28
104812,TERMINAL CAPAO RASO,18:09
106112,TERMINAL SITIO CERCADO,18:51
104812,TERMINAL CAPAO RASO,19:29
106112,TERMINAL SITIO CERCADO,20:07
104812,TERMINAL CAPAO RASO,20:37
106112,TERMINAL SITIO CERCADO,21:10
104812,TERMINAL CAPAO RASO,21:39
106112,TERMINAL SITIO CERCADO,22:11
104812,TERMINAL CAPAO RASO,22:41
106112,TERMINAL SITIO CERCADO,23:14
104812,TERMINAL CAPAO RASO,23:44
106112,TERMINAL SITIO CERCADO,00:12
