Linha,231
Tabela,002-2
num,ponto,horario
105906,TERM.STA.CANDIDA/BANESTADO,16:04
350042,BAIRRO BANESTADO,16:15
105909,TERM.STA.CANDIDA/CALIFORNIA,16:33
130585,BAIRRO CALIFORNIA,16:40
105906,TERM.STA.CANDIDA/BANESTADO,16:47
350042,BAIRRO BANESTADO,16:58
105909,TERM.STA.CANDIDA/CALIFORNIA,17:17
130585,BAIRRO CALIFORNIA,17:24
105906,TERM.STA.CANDIDA/BANESTADO,17:32
350042,BAIRRO BANESTADO,17:44
105909,TERM.STA.CANDIDA/CALIFORNIA,18:02
130585,BAIRRO CALIFORNIA,18:09
105906,TERM.STA.CANDIDA/BANESTADO,18:19
350042,BAIRRO BANESTADO,18:31
105909,TERM.STA.CANDIDA/CALIFORNIA,18:49
130585,BAIRRO CALIFORNIA,18:56
105906,TERM.STA.CANDIDA/BANESTADO,19:06
350042,BAIRRO BANESTADO,19:18
105909,TERM.STA.CANDIDA/CALIFORNIA,19:36
130585,BAIRRO CALIFORNIA,19:43
105906,TERM.STA.CANDIDA/BANESTADO,19:52
350042,BAIRRO BANESTADO,20:04
105909,TERM.STA.CANDIDA/CALIFORNIA,20:22
130585,BAIRRO CALIFORNIA,20:29
105906,TERM.STA.CANDIDA/BANESTADO,20:35
350042,BAIRRO BANESTADO,20:47
105909,TERM.STA.CANDIDA/CALIFORNIA,21:03
130585,BAIRRO CALIFORNIA,21:10
105906,TERM.STA.CANDIDA/BANESTADO,21:16
350042,BAIRRO BANESTADO,21:28
105909,TERM.STA.CANDIDA/CALIFORNIA,21:44
130585,BAIRRO CALIFORNIA,21:51
105906,TERM.STA.CANDIDA/BANESTADO,21:57
350042,BAIRRO BANESTADO,22:09
105909,TERM.STA.CANDIDA/CALIFORNIA,22:25
130585,BAIRRO CALIFORNIA,22:32
105906,TERM.STA.CANDIDA/BANESTADO,22:38
350042,BAIRRO BANESTADO,22:50
105909,TERM.STA.CANDIDA/CALIFORNIA,23:06
130585,BAIRRO CALIFORNIA,23:12
105906,TERM.STA.CANDIDA/BANESTADO,23:18
350042,BAIRRO BANESTADO,23:30
105909,TERM.STA.CANDIDA/CALIFORNIA,23:44
130585,BAIRRO CALIFORNIA,23:50
105906,TERM.STA.CANDIDA/BANESTADO,23:56
350042,BAIRRO BANESTADO,00:08
105909,TERM.STA.CANDIDA/CALIFORNIA,00:22
130585,BAIRRO CALIFORNIA,00:28
105906,TERM.STA.CANDIDA/BANESTADO,00:34
350042,BAIRRO BANESTADO,00:44
