Linha,231
Tabela,002-1
num,ponto,horario
105906,TERM.STA.CANDIDA/BANESTADO,05:41
350042,BAIRRO BANESTADO,05:52
105909,TERM.STA.CANDIDA/CALIFORNIA,06:09
130585,BAIRRO CALIFORNIA,06:15
105906,TERM.STA.CANDIDA/BANESTADO,06:26
350042,BAIRRO BANESTADO,06:37
105909,TERM.STA.CANDIDA/CALIFORNIA,06:58
130585,BAIRRO CALIFORNIA,07:04
105906,TERM.STA.CANDIDA/BANESTADO,07:16
350042,BAIRRO BANESTADO,07:27
105909,TERM.STA.CANDIDA/CALIFORNIA,07:49
130585,BAIRRO CALIFORNIA,07:56
105906,TERM.STA.CANDIDA/BANESTADO,08:07
350042,BAIRRO BANESTADO,08:18
