Linha,303
Tabela,002
num,ponto,horario
104601,TERMINAL CAMPO COMPRIDO,05:30
108169,ESTACAO TUBO R. BARBOSA/LESTE,05:58
105101,TERMINAL CENTENARIO,06:30
108030,ESTACAO TUBO R.BARBOSA/OESTE,07:03
104601,TERMINAL CAMPO COMPRIDO,07:36
108169,ESTACAO TUBO R. BARBOSA/LESTE,08:04
105101,TERMINAL CENTENARIO,08:35
108030,ESTACAO TUBO R.BARBOSA/OESTE,09:09
104601,TERMINAL CAMPO COMPRIDO,09:38
108169,ESTACAO TUBO R. BARBOSA/LESTE,10:07
105101,TERMINAL CENTENARIO,10:41
108030,ESTACAO TUBO R.BARBOSA/OESTE,11:15
104601,TERMINAL CAMPO COMPRIDO,11:44
108169,ESTACAO TUBO R. BARBOSA/LESTE,12:13
105101,TERMINAL CENTENARIO,12:47
108030,ESTACAO TUBO R.BARBOSA/OESTE,13:21
104601,TERMINAL CAMPO COMPRIDO,13:50
108169,ESTACAO TUBO R. BARBOSA/LESTE,14:19
105101,TERMINAL CENTENARIO,14:53
108030,ESTACAO TUBO R.BARBOSA/OESTE,15:27
104601,TERMINAL CAMPO COMPRIDO,15:56
108169,ESTACAO TUBO R. BARBOSA/LESTE,16:25
105101,TERMINAL CENTENARIO,16:59
108030,ESTACAO TUBO R.BARBOSA/OESTE,17:33
104601,TERMINAL CAMPO COMPRIDO,18:02
108169,ESTACAO TUBO R. BARBOSA/LESTE,18:31
105101,TERMINAL CENTENARIO,19:05
108030,ESTACAO TUBO R.BARBOSA/OESTE,19:39
104601,TERMINAL CAMPO COMPRIDO,20:09
108169,ESTACAO TUBO R. BARBOSA/LESTE,20:37
105101,TERMINAL CENTENARIO,21:08
108030,ESTACAO TUBO R.BARBOSA/OESTE,21:38
104601,TERMINAL CAMPO COMPRIDO,22:07
108169,ESTACAO TUBO R. BARBOSA/LESTE,22:35
105101,TERMINAL CENTENARIO,23:08
108030,ESTACAO TUBO R.BARBOSA/OESTE,23:36
