Linha,X42
Tabela,002-2
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,16:34
104406,TERMINAL CABRAL,17:11
104703,TERMINAL CAPAO DA IMBUIA,17:58
104406,TERMINAL CABRAL,18:36
104703,TERMINAL CAPAO DA IMBUIA,19:22
104406,TERMINAL CABRAL,19:57
104703,TERMINAL CAPAO DA IMBUIA,20:27
104406,TERMINAL CABRAL,20:57
104703,TERMINAL CAPAO DA IMBUIA,21:18
104406,TERMINAL CABRAL,21:47
104703,TERMINAL CAPAO DA IMBUIA,22:08
104406,TERMINAL CABRAL,22:36
104703,TERMINAL CAPAO DA IMBUIA,22:58
104406,TERMINAL CABRAL,23:23
104703,TERMINAL CAPAO DA IMBUIA,23:45
104406,TERMINAL CABRAL,00:05
104703,TERMINAL CAPAO DA IMBUIA,00:25
