Linha,X91
Tabela,001
num,ponto,horario
191025,EMPRESA EXP. AZUL,06:00
109043,TUBO CIC NORTE,07:00
108191,E.T. RIO BARIGUI,08:30
108179,E.T. P. TAUNAY,09:56
108023,ESTACAO TUBO CENTRAL/NORTE,11:20
191025,EMPRESA EXP. AZUL,12:00
109043,TUBO CIC NORTE,12:35
108191,E.T. RIO BARIGUI,14:15
108179,E.T. P. TAUNAY,15:30
108023,ESTACAO TUBO CENTRAL/NORTE,17:20
191025,EMPRESA EXP. AZUL,18:00
109043,TUBO CIC NORTE,18:30
108191,E.T. RIO BARIGUI,20:20
108179,E.T. P. TAUNAY,21:50
108023,ESTACAO TUBO CENTRAL/NORTE,23:20
