Linha,505
Tabela,013-2
num,ponto,horario
109037,TUBO MUSEU OSCAR NIEMEYER,15:45
109103,TERMINAL BOQUEIRAO,16:31
109037,TUBO MUSEU OSCAR NIEMEYER,17:16
109103,TERMINAL BOQUEIRAO,18:02
109037,TUBO MUSEU OSCAR NIEMEYER,18:47
109103,TERMINAL BOQUEIRAO,19:33
109037,TUBO MUSEU OSCAR NIEMEYER,20:12
109103,TERMINAL BOQUEIRAO,20:51
109037,TUBO MUSEU OSCAR NIEMEYER,21:30
109103,TERMINAL BOQUEIRAO,22:09
109037,TUBO MUSEU OSCAR NIEMEYER,22:48
109103,TERMINAL BOQUEIRAO,23:25
109037,TUBO MUSEU OSCAR NIEMEYER,00:02
