Linha,638
Tabela,002-2
num,ponto,horario
105717,TERMINAL PINHEIRINHO,16:10
160265,BAIRRO PINHEIRINHO,16:43
105717,TERMINAL PINHEIRINHO,17:19
160265,BAIRRO PINHEIRINHO,17:52
105717,TERMINAL PINHEIRINHO,18:28
160265,BAIRRO PINHEIRINHO,19:01
105717,TERMINAL PINHEIRINHO,19:34
160265,BAIRRO PINHEIRINHO,20:01
105717,TERMINAL PINHEIRINHO,20:30
160265,BAIRRO PINHEIRINHO,21:00
105717,TERMINAL PINHEIRINHO,21:30
160265,BAIRRO PINHEIRINHO,22:00
105717,TERMINAL PINHEIRINHO,22:30
160265,BAIRRO PINHEIRINHO,23:00
105717,TERMINAL PINHEIRINHO,23:30
160265,BAIRRO PINHEIRINHO,00:00
105717,TERMINAL PINHEIRINHO,00:30
