Linha,706
Tabela,003
num,ponto,horario
105311,TERM.FAZENDINHA/TERM.CAIUA,05:45
105001,TERMINAL CAIUA,05:54
105302,TERM.FAZENDINHA SENTIDO CENTRO,06:03
102016,PRACA RUI BARBOSA,06:31
105311,TERM.FAZENDINHA/TERM.CAIUA,06:55
105001,TERMINAL CAIUA,07:06
105302,TERM.FAZENDINHA SENTIDO CENTRO,07:16
102016,PRACA RUI BARBOSA,07:46
105311,TERM.FAZENDINHA/TERM.CAIUA,08:12
105001,TERMINAL CAIUA,08:24
105302,TERM.FAZENDINHA SENTIDO CENTRO,08:34
102016,PRACA RUI BARBOSA,09:05
105311,TERM.FAZENDINHA/TERM.CAIUA,09:35
105001,TERMINAL CAIUA,09:49
105302,TERM.FAZENDINHA SENTIDO CENTRO,09:59
102016,PRACA RUI BARBOSA,10:29
105311,TERM.FAZENDINHA/TERM.CAIUA,10:57
105001,TERMINAL CAIUA,11:10
105302,TERM.FAZENDINHA SENTIDO CENTRO,11:20
102016,PRACA RUI BARBOSA,11:50
105311,TERM.FAZENDINHA/TERM.CAIUA,12:20
105001,TERMINAL CAIUA,12:34
105302,TERM.FAZENDINHA SENTIDO CENTRO,12:44
102016,PRACA RUI BARBOSA,13:17
105311,TERM.FAZENDINHA/TERM.CAIUA,13:47
