Linha,826
Tabela,002
num,ponto,horario
105205,TERMINAL CIC,05:28
105008,TERM.CAIUA SENTIDO TERM.C.COMP,05:43
104615,TERMINAL CAMPO COMPRIDO,06:00
105006,TERM. CAIUA SENTIDO CIC,06:16
105205,TERMINAL CIC,06:33
105008,TERM.CAIUA SENTIDO TERM.C.COMP,06:48
104615,TERMINAL CAMPO COMPRIDO,07:05
105006,TERM. CAIUA SENTIDO CIC,07:21
105205,TERMINAL CIC,07:38
105008,TERM.CAIUA SENTIDO TERM.C.COMP,07:53
104615,TERMINAL CAMPO COMPRIDO,08:10
105006,TERM. CAIUA SENTIDO CIC,08:26
105205,TERMINAL CIC,08:51
105008,TERM.CAIUA SENTIDO TERM.C.COMP,09:06
104615,TERMINAL CAMPO COMPRIDO,09:24
105006,TERM. CAIUA SENTIDO CIC,09:40
105205,TERMINAL CIC,10:00
105008,TERM.CAIUA SENTIDO TERM.C.COMP,10:15
104615,TERMINAL CAMPO COMPRIDO,10:35
105006,TERM. CAIUA SENTIDO CIC,10:52
105205,TERMINAL CIC,11:12
105008,TERM.CAIUA SENTIDO TERM.C.COMP,11:27
104615,TERMINAL CAMPO COMPRIDO,11:47
105006,TERM. CAIUA SENTIDO CIC,12:04
105205,TERMINAL CIC,12:24
105008,TERM.CAIUA SENTIDO TERM.C.COMP,12:39
104615,TERMINAL CAMPO COMPRIDO,12:59
105006,TERM. CAIUA SENTIDO CIC,13:16
105205,TERMINAL CIC,13:36
105008,TERM.CAIUA SENTIDO TERM.C.COMP,13:51
104615,TERMINAL CAMPO COMPRIDO,14:11
105006,TERM. CAIUA SENTIDO CIC,14:28
105205,TERMINAL CIC,14:48
105008,TERM.CAIUA SENTIDO TERM.C.COMP,15:03
104615,TERMINAL CAMPO COMPRIDO,15:23
105006,TERM. CAIUA SENTIDO CIC,15:40
105205,TERMINAL CIC,16:00
105008,TERM.CAIUA SENTIDO TERM.C.COMP,16:15
104615,TERMINAL CAMPO COMPRIDO,16:35
105006,TERM. CAIUA SENTIDO CIC,16:52
105205,TERMINAL CIC,17:12
105008,TERM.CAIUA SENTIDO TERM.C.COMP,17:27
104615,TERMINAL CAMPO COMPRIDO,17:47
105006,TERM. CAIUA SENTIDO CIC,18:04
105205,TERMINAL CIC,18:24
105008,TERM.CAIUA SENTIDO TERM.C.COMP,18:40
104615,TERMINAL CAMPO COMPRIDO,18:59
105006,TERM. CAIUA SENTIDO CIC,19:18
105205,TERMINAL CIC,19:34
105008,TERM.CAIUA SENTIDO TERM.C.COMP,19:50
