Linha,629
Tabela,002
num,ponto,horario
160016,BAIRRO ALTO BOQUEIRAO,05:13
104816,TERMINAL CAPAO RASO,05:49
160016,BAIRRO ALTO BOQUEIRAO,06:39
104816,TERMINAL CAPAO RASO,07:30
160016,BAIRRO ALTO BOQUEIRAO,08:21
104816,TERMINAL CAPAO RASO,09:12
160016,BAIRRO ALTO BOQUEIRAO,09:54
104816,TERMINAL CAPAO RASO,10:36
160016,BAIRRO ALTO BOQUEIRAO,11:18
104816,TERMINAL CAPAO RASO,12:00
160016,BAIRRO ALTO BOQUEIRAO,12:42
104816,TERMINAL CAPAO RASO,13:24
160016,BAIRRO ALTO BOQUEIRAO,14:06
104816,TERMINAL CAPAO RASO,14:48
160016,BAIRRO ALTO BOQUEIRAO,15:30
104816,TERMINAL CAPAO RASO,16:13
160016,BAIRRO ALTO BOQUEIRAO,16:57
104816,TERMINAL CAPAO RASO,17:47
160016,BAIRRO ALTO BOQUEIRAO,18:37
104816,TERMINAL CAPAO RASO,19:27
