Linha,022
Tabela,001-2
num,ponto,horario
109086,TERMINAL CABRAL,16:58
109119,TERMINAL CAPAO DA IMBUIA,17:25
109108,TERMINAL HAUER,17:47
109095,TERMINAL CAPAO RASO,18:11
109091,TERMINAL PORTAO,18:18
109125,TERMINAL CAMPINA DO SIQUEIRA,18:46
109086,TERMINAL CABRAL,19:18
109119,TERMINAL CAPAO DA IMBUIA,19:50
109108,TERMINAL HAUER,20:07
109095,TERMINAL CAPAO RASO,20:25
109091,TERMINAL PORTAO,20:30
109125,TERMINAL CAMPINA DO SIQUEIRA,20:45
109086,TERMINAL CABRAL,21:09
109119,TERMINAL CAPAO DA IMBUIA,21:30
109108,TERMINAL HAUER,21:46
109095,TERMINAL CAPAO RASO,22:01
109091,TERMINAL PORTAO,22:08
109125,TERMINAL CAMPINA DO SIQUEIRA,22:24
109086,TERMINAL CABRAL,22:48
109119,TERMINAL CAPAO DA IMBUIA,23:10
109108,TERMINAL HAUER,23:26
109095,TERMINAL CAPAO RASO,23:41
109091,TERMINAL PORTAO,23:49
109125,TERMINAL CAMPINA DO SIQUEIRA,00:04
