Linha,022
Tabela,004-2
num,ponto,horario
109125,TERMINAL CAMPINA DO SIQUEIRA,17:26
109086,TERMINAL CABRAL,18:01
109119,TERMINAL CAPAO DA IMBUIA,18:40
109108,TERMINAL HAUER,18:59
109095,TERMINAL CAPAO RASO,19:22
109091,TERMINAL PORTAO,19:29
109125,TERMINAL CAMPINA DO SIQUEIRA,19:49
109086,TERMINAL CABRAL,20:14
109119,TERMINAL CAPAO DA IMBUIA,20:41
109108,TERMINAL HAUER,20:57
109095,TERMINAL CAPAO RASO,21:13
109091,TERMINAL PORTAO,21:20
109125,TERMINAL CAMPINA DO SIQUEIRA,21:35
109086,TERMINAL CABRAL,21:59
109119,TERMINAL CAPAO DA IMBUIA,22:21
109108,TERMINAL HAUER,22:36
109095,TERMINAL CAPAO RASO,22:51
109091,TERMINAL PORTAO,22:58
109125,TERMINAL CAMPINA DO SIQUEIRA,23:14
109086,TERMINAL CABRAL,23:38
109119,TERMINAL CAPAO DA IMBUIA,00:00
