Linha,022
Tabela,006-2
num,ponto,horario
109095,TERMINAL CAPAO RASO,17:02
109091,TERMINAL PORTAO,17:09
109125,TERMINAL CAMPINA DO SIQUEIRA,17:34
109086,TERMINAL CABRAL,18:09
109119,TERMINAL CAPAO DA IMBUIA,18:50
109108,TERMINAL HAUER,19:10
109095,TERMINAL CAPAO RASO,19:33
109091,TERMINAL PORTAO,19:40
109125,TERMINAL CAMPINA DO SIQUEIRA,20:00
109086,TERMINAL CABRAL,20:25
109119,TERMINAL CAPAO DA IMBUIA,20:56
109108,TERMINAL HAUER,21:14
109095,TERMINAL CAPAO RASO,21:29
109091,TERMINAL PORTAO,21:36
109125,TERMINAL CAMPINA DO SIQUEIRA,21:52
109086,TERMINAL CABRAL,22:16
109119,TERMINAL CAPAO DA IMBUIA,22:38
109108,TERMINAL HAUER,22:53
109095,TERMINAL CAPAO RASO,23:08
109091,TERMINAL PORTAO,23:15
109125,TERMINAL CAMPINA DO SIQUEIRA,23:31
109086,TERMINAL CABRAL,23:55
