Linha,022
Tabela,014-2
num,ponto,horario
109125,TERMINAL CAMPINA DO SIQUEIRA,16:54
109086,TERMINAL CABRAL,17:25
109119,TERMINAL CAPAO DA IMBUIA,17:58
109108,TERMINAL HAUER,18:18
109095,TERMINAL CAPAO RASO,18:43
109091,TERMINAL PORTAO,18:50
109125,TERMINAL CAMPINA DO SIQUEIRA,19:11
109086,TERMINAL CABRAL,19:40
109119,TERMINAL CAPAO DA IMBUIA,20:10
109108,TERMINAL HAUER,20:24
109095,TERMINAL CAPAO RASO,20:40
109091,TERMINAL PORTAO,20:46
109125,TERMINAL CAMPINA DO SIQUEIRA,21:02
109086,TERMINAL CABRAL,21:26
109119,TERMINAL CAPAO DA IMBUIA,21:47
109108,TERMINAL HAUER,22:03
109095,TERMINAL CAPAO RASO,22:18
109091,TERMINAL PORTAO,22:25
109125,TERMINAL CAMPINA DO SIQUEIRA,22:41
109086,TERMINAL CABRAL,23:05
109119,TERMINAL CAPAO DA IMBUIA,23:27
109108,TERMINAL HAUER,23:43
109095,TERMINAL CAPAO RASO,23:58
