Linha,275
Tabela,002
num,ponto,horario
120170,BAIRRO F.NORONHA/LARANJEIRAS,06:14
101163,TRAVESSA MOREIRA GARCEZ,06:55
120170,BAIRRO F.NORONHA/LARANJEIRAS,07:23
101163,TRAVESSA MOREIRA GARCEZ,08:05
120170,BAIRRO F.NORONHA/LARANJEIRAS,08:34
101163,TRAVESSA MOREIRA GARCEZ,09:17
120170,BAIRRO F.NORONHA/LARANJEIRAS,09:47
101163,TRAVESSA MOREIRA GARCEZ,10:31
120170,BAIRRO F.NORONHA/LARANJEIRAS,11:01
101163,TRAVESSA MOREIRA GARCEZ,11:45
120170,BAIRRO F.NORONHA/LARANJEIRAS,12:15
101163,TRAVESSA MOREIRA GARCEZ,12:59
120170,BAIRRO F.NORONHA/LARANJEIRAS,13:29
101163,TRAVESSA MOREIRA GARCEZ,14:13
120170,BAIRRO F.NORONHA/LARANJEIRAS,14:43
101163,TRAVESSA MOREIRA GARCEZ,15:27
120170,BAIRRO F.NORONHA/LARANJEIRAS,15:57
101163,TRAVESSA MOREIRA GARCEZ,16:41
120170,BAIRRO F.NORONHA/LARANJEIRAS,17:11
101163,TRAVESSA MOREIRA GARCEZ,17:55
120170,BAIRRO F.NORONHA/LARANJEIRAS,18:25
101163,TRAVESSA MOREIRA GARCEZ,19:09
120170,BAIRRO F.NORONHA/LARANJEIRAS,19:39
