Linha,X49
Tabela,003-1
num,ponto,horario
105801,TERMINAL PORTAO,06:31
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:45
108023,ESTACAO TUBO CENTRAL/NORTE,07:03
104411,TERMINAL CABRAL/SENTIDO NORTE,07:14
104413,TERMINAL CABRAL/SENTIDO SUL,07:18
108024,ESTACAO TUBO CENTRAL/SUL,07:30
108036,ESTACAO TUBO BENTO VIANA/SUL,07:47
105801,TERMINAL PORTAO,08:02
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:16
108023,ESTACAO TUBO CENTRAL/NORTE,08:35
104411,TERMINAL CABRAL/SENTIDO NORTE,08:46
104413,TERMINAL CABRAL/SENTIDO SUL,08:50
108024,ESTACAO TUBO CENTRAL/SUL,09:02
108036,ESTACAO TUBO BENTO VIANA/SUL,09:17
