Linha,X49
Tabela,003-2
num,ponto,horario
105801,TERMINAL PORTAO,16:31
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:45
108023,ESTACAO TUBO CENTRAL/NORTE,17:04
104411,TERMINAL CABRAL/SENTIDO NORTE,17:16
104413,TERMINAL CABRAL/SENTIDO SUL,17:20
108024,ESTACAO TUBO CENTRAL/SUL,17:32
108036,ESTACAO TUBO BENTO VIANA/SUL,17:49
105801,TERMINAL PORTAO,18:05
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:19
108023,ESTACAO TUBO CENTRAL/NORTE,18:38
104411,TERMINAL CABRAL/SENTIDO NORTE,18:49
104413,TERMINAL CABRAL/SENTIDO SUL,18:53
108024,ESTACAO TUBO CENTRAL/SUL,19:05
108036,ESTACAO TUBO BENTO VIANA/SUL,19:21
