Linha,X49
Tabela,001-1
num,ponto,horario
105801,TERMINAL PORTAO,06:18
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:31
108023,ESTACAO TUBO CENTRAL/NORTE,06:46
104411,TERMINAL CABRAL/SENTIDO NORTE,06:57
104413,TERMINAL CABRAL/SENTIDO SUL,06:58
108024,ESTACAO TUBO CENTRAL/SUL,07:10
108036,ESTACAO TUBO BENTO VIANA/SUL,07:26
105801,TERMINAL PORTAO,07:40
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:53
108023,ESTACAO TUBO CENTRAL/NORTE,08:09
104411,TERMINAL CABRAL/SENTIDO NORTE,08:21
104413,TERMINAL CABRAL/SENTIDO SUL,08:26
108024,ESTACAO TUBO CENTRAL/SUL,08:38
108036,ESTACAO TUBO BENTO VIANA/SUL,08:54
