Linha,X49
Tabela,002-1
num,ponto,horario
104413,TERMINAL CABRAL/SENTIDO SUL,06:14
108024,ESTACAO TUBO CENTRAL/SUL,06:26
108036,ESTACAO TUBO BENTO VIANA/SUL,06:41
105801,TERMINAL PORTAO,06:58
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:13
108023,ESTACAO TUBO CENTRAL/NORTE,07:32
104411,TERMINAL CABRAL/SENTIDO NORTE,07:43
104413,TERMINAL CABRAL/SENTIDO SUL,07:47
108024,ESTACAO TUBO CENTRAL/SUL,08:00
108036,ESTACAO TUBO BENTO VIANA/SUL,08:15
105801,TERMINAL PORTAO,08:29
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:43
108023,ESTACAO TUBO CENTRAL/NORTE,09:02
