Linha,732
Tabela,001-2
num,ponto,horario
180180,AV. JUCELINO K. OLIVEIRA (L732),15:10
105010,TERMINAL CAIUÁ (VAZIO),15:30
180180,AV. JUCELINO K. OLIVEIRA (L732),15:44
105010,TERMINAL CAIUÁ (VAZIO),16:01
180180,AV. JUCELINO K. OLIVEIRA (L732),16:16
105010,TERMINAL CAIUÁ (VAZIO),16:35
180180,AV. JUCELINO K. OLIVEIRA (L732),16:52
105010,TERMINAL CAIUÁ (VAZIO),17:10
180180,AV. JUCELINO K. OLIVEIRA (L732),17:26
105010,TERMINAL CAIUÁ (VAZIO),17:45
180180,AV. JUCELINO K. OLIVEIRA (L732),18:02
105010,TERMINAL CAIUÁ (VAZIO),18:20
180180,AV. JUCELINO K. OLIVEIRA (L732),18:37
