Linha,203
Tabela,012
num,ponto,horario
104801,TERMINAL CAPAO RASO,06:22
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:40
108023,ESTACAO TUBO CENTRAL/NORTE,06:53
104411,TERMINAL CABRAL/SENTIDO NORTE,07:04
105901,TERMINAL SANTA CANDIDA,07:24
104413,TERMINAL CABRAL/SENTIDO SUL,07:36
108024,ESTACAO TUBO CENTRAL/SUL,07:46
108036,ESTACAO TUBO BENTO VIANA/SUL,07:58
104801,TERMINAL CAPAO RASO,08:20
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:38
108023,ESTACAO TUBO CENTRAL/NORTE,08:51
104411,TERMINAL CABRAL/SENTIDO NORTE,09:02
105901,TERMINAL SANTA CANDIDA,09:20
104413,TERMINAL CABRAL/SENTIDO SUL,09:32
108024,ESTACAO TUBO CENTRAL/SUL,09:43
108036,ESTACAO TUBO BENTO VIANA/SUL,09:55
104801,TERMINAL CAPAO RASO,10:17
108035,ESTACAO TUBO BENTO VIANA/NORTE,10:36
108023,ESTACAO TUBO CENTRAL/NORTE,10:49
104411,TERMINAL CABRAL/SENTIDO NORTE,11:00
105901,TERMINAL SANTA CANDIDA,11:20
104413,TERMINAL CABRAL/SENTIDO SUL,11:32
108024,ESTACAO TUBO CENTRAL/SUL,11:43
108036,ESTACAO TUBO BENTO VIANA/SUL,11:55
104801,TERMINAL CAPAO RASO,12:17
108035,ESTACAO TUBO BENTO VIANA/NORTE,12:36
108023,ESTACAO TUBO CENTRAL/NORTE,12:49
104411,TERMINAL CABRAL/SENTIDO NORTE,13:00
105901,TERMINAL SANTA CANDIDA,13:20
104413,TERMINAL CABRAL/SENTIDO SUL,13:32
108024,ESTACAO TUBO CENTRAL/SUL,13:43
108036,ESTACAO TUBO BENTO VIANA/SUL,13:55
104801,TERMINAL CAPAO RASO,14:17
108035,ESTACAO TUBO BENTO VIANA/NORTE,14:36
108023,ESTACAO TUBO CENTRAL/NORTE,14:49
104411,TERMINAL CABRAL/SENTIDO NORTE,15:00
105901,TERMINAL SANTA CANDIDA,15:20
104413,TERMINAL CABRAL/SENTIDO SUL,15:32
108024,ESTACAO TUBO CENTRAL/SUL,15:43
108036,ESTACAO TUBO BENTO VIANA/SUL,15:55
104801,TERMINAL CAPAO RASO,16:17
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:36
108023,ESTACAO TUBO CENTRAL/NORTE,16:49
104411,TERMINAL CABRAL/SENTIDO NORTE,17:00
105901,TERMINAL SANTA CANDIDA,17:20
104413,TERMINAL CABRAL/SENTIDO SUL,17:32
108024,ESTACAO TUBO CENTRAL/SUL,17:43
108036,ESTACAO TUBO BENTO VIANA/SUL,17:55
104801,TERMINAL CAPAO RASO,18:17
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:36
108023,ESTACAO TUBO CENTRAL/NORTE,18:49
104411,TERMINAL CABRAL/SENTIDO NORTE,19:00
105901,TERMINAL SANTA CANDIDA,19:20
104413,TERMINAL CABRAL/SENTIDO SUL,19:32
108024,ESTACAO TUBO CENTRAL/SUL,19:42
108036,ESTACAO TUBO BENTO VIANA/SUL,19:54
104801,TERMINAL CAPAO RASO,20:15
108035,ESTACAO TUBO BENTO VIANA/NORTE,20:33
108023,ESTACAO TUBO CENTRAL/NORTE,20:46
104411,TERMINAL CABRAL/SENTIDO NORTE,20:57
105901,TERMINAL SANTA CANDIDA,21:16
104413,TERMINAL CABRAL/SENTIDO SUL,21:28
108024,ESTACAO TUBO CENTRAL/SUL,21:38
108036,ESTACAO TUBO BENTO VIANA/SUL,21:50
104801,TERMINAL CAPAO RASO,22:11
108035,ESTACAO TUBO BENTO VIANA/NORTE,22:29
108023,ESTACAO TUBO CENTRAL/NORTE,22:42
104411,TERMINAL CABRAL/SENTIDO NORTE,22:53
105901,TERMINAL SANTA CANDIDA,23:11
104413,TERMINAL CABRAL/SENTIDO SUL,23:23
108024,ESTACAO TUBO CENTRAL/SUL,23:33
108036,ESTACAO TUBO BENTO VIANA/SUL,23:45
