Linha,641
Tabela,001
num,ponto,horario
160383,BAIRRO LUIZ NICHELE,05:00
105713,TERMINAL PINHEIRINHO,05:35
160383,BAIRRO LUIZ NICHELE,06:10
105713,TERMINAL PINHEIRINHO,06:46
160383,BAIRRO LUIZ NICHELE,07:23
105713,TERMINAL PINHEIRINHO,08:07
160383,BAIRRO LUIZ NICHELE,08:43
105713,TERMINAL PINHEIRINHO,09:22
160383,BAIRRO LUIZ NICHELE,09:58
105713,TERMINAL PINHEIRINHO,10:35
160383,BAIRRO LUIZ NICHELE,11:11
105713,TERMINAL PINHEIRINHO,11:48
160383,BAIRRO LUIZ NICHELE,12:24
105713,TERMINAL PINHEIRINHO,13:02
160383,BAIRRO LUIZ NICHELE,13:39
105713,TERMINAL PINHEIRINHO,14:17
160383,BAIRRO LUIZ NICHELE,14:53
105713,TERMINAL PINHEIRINHO,15:30
160383,BAIRRO LUIZ NICHELE,16:08
105713,TERMINAL PINHEIRINHO,16:48
160383,BAIRRO LUIZ NICHELE,17:28
105713,TERMINAL PINHEIRINHO,18:11
160383,BAIRRO LUIZ NICHELE,18:53
105713,TERMINAL PINHEIRINHO,19:34
