Linha,183
Tabela,001
num,ponto,horario
120300,BAIRRO JARDIM CHAPARRAL,05:45
101020,PRACA TIRADENTES,06:15
120300,BAIRRO JARDIM CHAPARRAL,06:45
101020,PRACA TIRADENTES,07:15
120300,BAIRRO JARDIM CHAPARRAL,07:46
101020,PRACA TIRADENTES,08:17
120300,BAIRRO JARDIM CHAPARRAL,08:50
101020,PRACA TIRADENTES,09:22
120300,BAIRRO JARDIM CHAPARRAL,09:56
101020,PRACA TIRADENTES,10:28
120300,BAIRRO JARDIM CHAPARRAL,11:02
101020,PRACA TIRADENTES,11:34
120300,BAIRRO JARDIM CHAPARRAL,12:08
101020,PRACA TIRADENTES,12:40
120300,BAIRRO JARDIM CHAPARRAL,13:14
101020,PRACA TIRADENTES,13:46
120300,BAIRRO JARDIM CHAPARRAL,14:20
101020,PRACA TIRADENTES,14:52
120300,BAIRRO JARDIM CHAPARRAL,15:26
101020,PRACA TIRADENTES,15:58
120300,BAIRRO JARDIM CHAPARRAL,16:32
101020,PRACA TIRADENTES,17:04
120300,BAIRRO JARDIM CHAPARRAL,17:38
101020,PRACA TIRADENTES,18:10
120300,BAIRRO JARDIM CHAPARRAL,18:44
101020,PRACA TIRADENTES,19:17
120300,BAIRRO JARDIM CHAPARRAL,19:51
101020,PRACA TIRADENTES,20:24
120300,BAIRRO JARDIM CHAPARRAL,20:58
101020,PRACA TIRADENTES,21:31
120300,BAIRRO JARDIM CHAPARRAL,22:05
101020,PRACA TIRADENTES,22:38
120300,BAIRRO JARDIM CHAPARRAL,23:12
101020,PRACA TIRADENTES,23:45
