Linha,160
Tabela,001
num,ponto,horario
190896,BAIRRO MERCES,05:40
103510,RUA JOSE LOUREIRO,06:02
150907,BAIRRO GUANABARA,06:22
103507,AV.MAL.FLORIANO PEIXOTO,06:42
190896,BAIRRO MERCES,07:06
103510,RUA JOSE LOUREIRO,07:28
150907,BAIRRO GUANABARA,07:48
103507,AV.MAL.FLORIANO PEIXOTO,08:08
190896,BAIRRO MERCES,08:32
103510,RUA JOSE LOUREIRO,08:54
150907,BAIRRO GUANABARA,09:14
103507,AV.MAL.FLORIANO PEIXOTO,09:34
190896,BAIRRO MERCES,10:00
103510,RUA JOSE LOUREIRO,10:22
150907,BAIRRO GUANABARA,10:44
103507,AV.MAL.FLORIANO PEIXOTO,11:04
190896,BAIRRO MERCES,11:30
103510,RUA JOSE LOUREIRO,11:52
150907,BAIRRO GUANABARA,12:14
103507,AV.MAL.FLORIANO PEIXOTO,12:34
190896,BAIRRO MERCES,13:00
103510,RUA JOSE LOUREIRO,13:22
150907,BAIRRO GUANABARA,13:44
103507,AV.MAL.FLORIANO PEIXOTO,14:04
190896,BAIRRO MERCES,14:30
103510,RUA JOSE LOUREIRO,14:52
150907,BAIRRO GUANABARA,15:14
103507,AV.MAL.FLORIANO PEIXOTO,15:34
190896,BAIRRO MERCES,16:00
103510,RUA JOSE LOUREIRO,16:22
150907,BAIRRO GUANABARA,16:44
103507,AV.MAL.FLORIANO PEIXOTO,17:04
190896,BAIRRO MERCES,17:30
103510,RUA JOSE LOUREIRO,17:52
150907,BAIRRO GUANABARA,18:12
103507,AV.MAL.FLORIANO PEIXOTO,18:30
190896,BAIRRO MERCES,18:54
103510,RUA JOSE LOUREIRO,19:14
150907,BAIRRO GUANABARA,19:32
103507,AV.MAL.FLORIANO PEIXOTO,19:50
190896,BAIRRO MERCES,20:14
103510,RUA JOSE LOUREIRO,20:34
150907,BAIRRO GUANABARA,20:52
103507,AV.MAL.FLORIANO PEIXOTO,21:10
190896,BAIRRO MERCES,21:34
103510,RUA JOSE LOUREIRO,21:54
150907,BAIRRO GUANABARA,22:12
103507,AV.MAL.FLORIANO PEIXOTO,22:30
190896,BAIRRO MERCES,22:54
103510,RUA JOSE LOUREIRO,23:14
150907,BAIRRO GUANABARA,23:32
103507,AV.MAL.FLORIANO PEIXOTO,23:50
