Linha,X42
Tabela,003
num,ponto,horario
104406,TERMINAL CABRAL,05:40
104703,TERMINAL CAPAO DA IMBUIA,06:10
104406,TERMINAL CABRAL,06:40
104703,TERMINAL CAPAO DA IMBUIA,07:10
104406,TERMINAL CABRAL,07:40
104703,TERMINAL CAPAO DA IMBUIA,08:10
104406,TERMINAL CABRAL,08:40
104703,TERMINAL CAPAO DA IMBUIA,09:10
104406,TERMINAL CABRAL,09:40
104703,TERMINAL CAPAO DA IMBUIA,10:10
104406,TERMINAL CABRAL,10:40
104703,TERMINAL CAPAO DA IMBUIA,11:10
104406,TERMINAL CABRAL,11:40
104703,TERMINAL CAPAO DA IMBUIA,12:10
104406,TERMINAL CABRAL,12:40
104703,TERMINAL CAPAO DA IMBUIA,13:10
104406,TERMINAL CABRAL,13:40
104703,TERMINAL CAPAO DA IMBUIA,14:10
104406,TERMINAL CABRAL,14:40
104703,TERMINAL CAPAO DA IMBUIA,15:10
104406,TERMINAL CABRAL,15:40
104703,TERMINAL CAPAO DA IMBUIA,16:10
104406,TERMINAL CABRAL,16:40
104703,TERMINAL CAPAO DA IMBUIA,17:10
104406,TERMINAL CABRAL,17:40
104703,TERMINAL CAPAO DA IMBUIA,18:10
104406,TERMINAL CABRAL,18:40
104703,TERMINAL CAPAO DA IMBUIA,19:10
104406,TERMINAL CABRAL,19:40
104703,TERMINAL CAPAO DA IMBUIA,20:10
104406,TERMINAL CABRAL,20:40
104703,TERMINAL CAPAO DA IMBUIA,21:10
104406,TERMINAL CABRAL,21:40
104703,TERMINAL CAPAO DA IMBUIA,22:10
104406,TERMINAL CABRAL,22:38
104703,TERMINAL CAPAO DA IMBUIA,23:06
104406,TERMINAL CABRAL,23:34
104703,TERMINAL CAPAO DA IMBUIA,00:02
