Linha,X42
Tabela,002
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,05:30
104406,TERMINAL CABRAL,06:00
104703,TERMINAL CAPAO DA IMBUIA,06:30
104406,TERMINAL CABRAL,07:00
104703,TERMINAL CAPAO DA IMBUIA,07:30
104406,TERMINAL CABRAL,08:00
104703,TERMINAL CAPAO DA IMBUIA,08:30
104406,TERMINAL CABRAL,09:00
104703,TERMINAL CAPAO DA IMBUIA,09:30
104406,TERMINAL CABRAL,10:00
104703,TERMINAL CAPAO DA IMBUIA,10:30
104406,TERMINAL CABRAL,11:00
104703,TERMINAL CAPAO DA IMBUIA,11:30
104406,TERMINAL CABRAL,12:00
104703,TERMINAL CAPAO DA IMBUIA,12:30
104406,TERMINAL CABRAL,13:00
104703,TERMINAL CAPAO DA IMBUIA,13:30
104406,TERMINAL CABRAL,14:00
104703,TERMINAL CAPAO DA IMBUIA,14:30
104406,TERMINAL CABRAL,15:00
104703,TERMINAL CAPAO DA IMBUIA,15:30
104406,TERMINAL CABRAL,16:00
104703,TERMINAL CAPAO DA IMBUIA,16:30
104406,TERMINAL CABRAL,17:00
104703,TERMINAL CAPAO DA IMBUIA,17:30
104406,TERMINAL CABRAL,18:00
104703,TERMINAL CAPAO DA IMBUIA,18:30
104406,TERMINAL CABRAL,19:00
104703,TERMINAL CAPAO DA IMBUIA,19:30
104406,TERMINAL CABRAL,20:00
104703,TERMINAL CAPAO DA IMBUIA,20:30
104406,TERMINAL CABRAL,21:00
104703,TERMINAL CAPAO DA IMBUIA,21:30
104406,TERMINAL CABRAL,22:00
104703,TERMINAL CAPAO DA IMBUIA,22:28
104406,TERMINAL CABRAL,22:56
104703,TERMINAL CAPAO DA IMBUIA,23:24
104406,TERMINAL CABRAL,23:52
104703,TERMINAL CAPAO DA IMBUIA,00:20
