Linha,712
Tabela,001-2
num,ponto,horario
105314,TERMINAL FAZENDINHA,16:37
105209,TERMINAL CIC,17:03
105314,TERMINAL FAZENDINHA,17:29
105209,TERMINAL CIC,17:57
105314,TERMINAL FAZENDINHA,18:23
105209,TERMINAL CIC,18:51
105314,TERMINAL FAZENDINHA,19:16
105209,TERMINAL CIC,19:46
105314,TERMINAL FAZENDINHA,20:12
105209,TERMINAL CIC,20:36
105314,TERMINAL FAZENDINHA,20:59
105209,TERMINAL CIC,21:22
105314,TERMINAL FAZENDINHA,21:45
105209,TERMINAL CIC,22:07
105314,TERMINAL FAZENDINHA,22:30
105209,TERMINAL CIC,22:52
105314,TERMINAL FAZENDINHA,23:15
105209,TERMINAL CIC,23:37
105314,TERMINAL FAZENDINHA,23:58
105209,TERMINAL CIC,00:18
