Linha,637
Tabela,001-3
num,ponto,horario
106115,TERMINAL SITIO CERCADO,16:18
105731,TERMINAL PINHEIRINHO,16:47
106115,TERMINAL SITIO CERCADO,17:16
105731,TERMINAL PINHEIRINHO,17:45
106115,TERMINAL SITIO CERCADO,18:14
105731,TERMINAL PINHEIRINHO,18:43
106115,TERMINAL SITIO CERCADO,19:12
105731,TERMINAL PINHEIRINHO,19:41
106115,TERMINAL SITIO CERCADO,20:10
105731,TERMINAL PINHEIRINHO,20:39
106115,TERMINAL SITIO CERCADO,21:06
105731,TERMINAL PINHEIRINHO,21:33
106115,TERMINAL SITIO CERCADO,22:00
105731,TERMINAL PINHEIRINHO,22:26
106115,TERMINAL SITIO CERCADO,22:52
105731,TERMINAL PINHEIRINHO,23:18
106115,TERMINAL SITIO CERCADO,23:44
105731,TERMINAL PINHEIRINHO,00:10
