Linha,674
Tabela,003-2
num,ponto,horario
170987,BAIRRO NSA.SRA.DA LUZ,16:22
102030,PRACA RUI BARBOSA,17:10
170987,BAIRRO NSA.SRA.DA LUZ,18:05
102030,PRACA RUI BARBOSA,18:50
170987,BAIRRO NSA.SRA.DA LUZ,19:43
102030,PRACA RUI BARBOSA,20:26
170987,BAIRRO NSA.SRA.DA LUZ,20:56
102030,PRACA RUI BARBOSA,21:27
170987,BAIRRO NSA.SRA.DA LUZ,21:57
102030,PRACA RUI BARBOSA,22:28
170987,BAIRRO NSA.SRA.DA LUZ,22:58
102030,PRACA RUI BARBOSA,23:29
170987,BAIRRO NSA.SRA.DA LUZ,23:59
102030,PRACA RUI BARBOSA,00:30
