Linha,617
Tabela,004-2
num,ponto,horario
105740,TERMINAL PINHEIRINHO,16:27
171063,TERMINAL TATUQUARA,16:52
105740,TERMINAL PINHEIRINHO,17:36
171063,TERMINAL TATUQUARA,18:04
105740,TERMINAL PINHEIRINHO,18:46
171063,TERMINAL TATUQUARA,19:18
105740,TERMINAL PINHEIRINHO,19:53
171063,TERMINAL TATUQUARA,20:15
105740,TERMINAL PINHEIRINHO,20:49
171063,TERMINAL TATUQUARA,21:12
105740,TERMINAL PINHEIRINHO,21:47
171063,TERMINAL TATUQUARA,22:12
105740,TERMINAL PINHEIRINHO,22:46
171063,TERMINAL TATUQUARA,23:08
105740,TERMINAL PINHEIRINHO,23:42
171063,TERMINAL TATUQUARA,00:02
105740,TERMINAL PINHEIRINHO,00:36
