Linha,617
Tabela,005-2
num,ponto,horario
171063,TERMINAL TATUQUARA,16:22
105740,TERMINAL PINHEIRINHO,17:08
171063,TERMINAL TATUQUARA,17:34
105740,TERMINAL PINHEIRINHO,18:18
171063,TERMINAL TATUQUARA,18:49
105740,TERMINAL PINHEIRINHO,19:25
171063,TERMINAL TATUQUARA,19:47
105740,TERMINAL PINHEIRINHO,20:21
171063,TERMINAL TATUQUARA,20:43
105740,TERMINAL PINHEIRINHO,21:18
171063,TERMINAL TATUQUARA,21:42
105740,TERMINAL PINHEIRINHO,22:17
171063,TERMINAL TATUQUARA,22:41
105740,TERMINAL PINHEIRINHO,23:15
171063,TERMINAL TATUQUARA,23:35
105740,TERMINAL PINHEIRINHO,00:09
