Linha,307
Tabela,003
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,06:02
109055,TUBO NESTOR DE CASTRO,06:27
109121,TERMINAL SANTA FELICIDADE,06:44
109053,TUBO TIRADENTES,07:04
109120,TERMINAL BAIRRO ALTO,07:31
109055,TUBO NESTOR DE CASTRO,07:57
109121,TERMINAL SANTA FELICIDADE,08:17
109053,TUBO TIRADENTES,08:38
109120,TERMINAL BAIRRO ALTO,09:06
109055,TUBO NESTOR DE CASTRO,09:34
109121,TERMINAL SANTA FELICIDADE,09:55
109053,TUBO TIRADENTES,10:16
109120,TERMINAL BAIRRO ALTO,10:45
109055,TUBO NESTOR DE CASTRO,11:14
109121,TERMINAL SANTA FELICIDADE,11:35
109053,TUBO TIRADENTES,11:58
109120,TERMINAL BAIRRO ALTO,12:27
109055,TUBO NESTOR DE CASTRO,12:59
109121,TERMINAL SANTA FELICIDADE,13:22
109053,TUBO TIRADENTES,13:45
109120,TERMINAL BAIRRO ALTO,14:16
109055,TUBO NESTOR DE CASTRO,14:47
109121,TERMINAL SANTA FELICIDADE,15:10
109053,TUBO TIRADENTES,15:32
109120,TERMINAL BAIRRO ALTO,15:58
109055,TUBO NESTOR DE CASTRO,16:28
109121,TERMINAL SANTA FELICIDADE,16:51
109053,TUBO TIRADENTES,17:14
109120,TERMINAL BAIRRO ALTO,17:44
109055,TUBO NESTOR DE CASTRO,18:14
109121,TERMINAL SANTA FELICIDADE,18:37
109053,TUBO TIRADENTES,18:59
109120,TERMINAL BAIRRO ALTO,19:31
109055,TUBO NESTOR DE CASTRO,20:02
109121,TERMINAL SANTA FELICIDADE,20:24
109053,TUBO TIRADENTES,20:46
