Linha,965
Tabela,001-1
num,ponto,horario
106005,TERMINAL SANTA FELICIDADE,05:15
101013,PRACA TIRADENTES,05:45
106005,TERMINAL SANTA FELICIDADE,06:22
101013,PRACA TIRADENTES,07:00
106005,TERMINAL SANTA FELICIDADE,07:37
101013,PRACA TIRADENTES,08:20
106005,TERMINAL SANTA FELICIDADE,08:56
101013,PRACA TIRADENTES,09:33
106005,TERMINAL SANTA FELICIDADE,10:08
101013,PRACA TIRADENTES,10:43
106005,TERMINAL SANTA FELICIDADE,11:16
101013,PRACA TIRADENTES,11:53
106005,TERMINAL SANTA FELICIDADE,12:32
101013,PRACA TIRADENTES,13:08
