Linha,700
Tabela,009-2
num,ponto,horario
109085,TERMINAL CABRAL,15:55
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,16:10
105706,TERMINAL PINHEIRINHO,16:53
109017,E.T. CIRCULO MILITAR / CABRAL,17:32
109085,TERMINAL CABRAL,17:50
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,18:07
105706,TERMINAL PINHEIRINHO,18:50
109017,E.T. CIRCULO MILITAR / CABRAL,19:29
109085,TERMINAL CABRAL,19:52
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,20:04
105706,TERMINAL PINHEIRINHO,20:36
109017,E.T. CIRCULO MILITAR / CABRAL,21:05
109085,TERMINAL CABRAL,21:22
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,21:34
105706,TERMINAL PINHEIRINHO,22:06
109017,E.T. CIRCULO MILITAR / CABRAL,22:35
109085,TERMINAL CABRAL,22:52
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,23:04
105706,TERMINAL PINHEIRINHO,23:36
109017,E.T. CIRCULO MILITAR / CABRAL,00:06
