Linha,700
Tabela,011-2
num,ponto,horario
105706,TERMINAL PINHEIRINHO,16:44
109017,E.T. CIRCULO MILITAR / CABRAL,17:23
109085,TERMINAL CABRAL,17:41
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,17:58
105706,TERMINAL PINHEIRINHO,18:41
109017,E.T. CIRCULO MILITAR / CABRAL,19:20
109085,TERMINAL CABRAL,19:34
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,19:46
105706,TERMINAL PINHEIRINHO,20:18
109017,E.T. CIRCULO MILITAR / CABRAL,20:47
109085,TERMINAL CABRAL,21:04
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,21:16
105706,TERMINAL PINHEIRINHO,21:48
109017,E.T. CIRCULO MILITAR / CABRAL,22:17
109085,TERMINAL CABRAL,22:34
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,22:46
105706,TERMINAL PINHEIRINHO,23:18
109017,E.T. CIRCULO MILITAR / CABRAL,23:47
109085,TERMINAL CABRAL,00:04
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,00:15
