Linha,616
Tabela,003
num,ponto,horario
108207,ESTACAO TUBO STA.BERNADETHE,06:09
105807,TERMINAL PORTAO (T.FANNY L.VERDE),06:32
108209,ESTAÇÃO FANNY,06:54
105810,TERMINAL PORTAO (T.STA.BERNADETH),07:18
108207,ESTACAO TUBO STA.BERNADETHE,07:40
105807,TERMINAL PORTAO (T.FANNY L.VERDE),08:04
108209,ESTAÇÃO FANNY,08:27
105810,TERMINAL PORTAO (T.STA.BERNADETH),08:51
108207,ESTACAO TUBO STA.BERNADETHE,09:12
105807,TERMINAL PORTAO (T.FANNY L.VERDE),09:31
108209,ESTAÇÃO FANNY,09:53
105810,TERMINAL PORTAO (T.STA.BERNADETH),10:16
108207,ESTACAO TUBO STA.BERNADETHE,10:39
105807,TERMINAL PORTAO (T.FANNY L.VERDE),11:02
108209,ESTAÇÃO FANNY,11:25
105810,TERMINAL PORTAO (T.STA.BERNADETH),11:48
108207,ESTACAO TUBO STA.BERNADETHE,12:11
105807,TERMINAL PORTAO (T.FANNY L.VERDE),12:34
108209,ESTAÇÃO FANNY,12:58
105810,TERMINAL PORTAO (T.STA.BERNADETH),13:21
108207,ESTACAO TUBO STA.BERNADETHE,13:44
105807,TERMINAL PORTAO (T.FANNY L.VERDE),14:07
108209,ESTAÇÃO FANNY,14:30
105810,TERMINAL PORTAO (T.STA.BERNADETH),14:53
108207,ESTACAO TUBO STA.BERNADETHE,15:16
105807,TERMINAL PORTAO (T.FANNY L.VERDE),15:38
108209,ESTAÇÃO FANNY,16:01
105810,TERMINAL PORTAO (T.STA.BERNADETH),16:24
108207,ESTACAO TUBO STA.BERNADETHE,16:47
105807,TERMINAL PORTAO (T.FANNY L.VERDE),17:13
108209,ESTAÇÃO FANNY,17:40
105810,TERMINAL PORTAO (T.STA.BERNADETH),18:06
108207,ESTACAO TUBO STA.BERNADETHE,18:30
105807,TERMINAL PORTAO (T.FANNY L.VERDE),18:52
108209,ESTAÇÃO FANNY,19:16
105810,TERMINAL PORTAO (T.STA.BERNADETH),19:39
108207,ESTACAO TUBO STA.BERNADETHE,20:03
105807,TERMINAL PORTAO (T.FANNY L.VERDE),20:22
108209,ESTAÇÃO FANNY,20:41
105810,TERMINAL PORTAO (T.STA.BERNADETH),21:02
108207,ESTACAO TUBO STA.BERNADETHE,21:26
105807,TERMINAL PORTAO (T.FANNY L.VERDE),21:47
108209,ESTAÇÃO FANNY,22:09
105810,TERMINAL PORTAO (T.STA.BERNADETH),22:31
108207,ESTACAO TUBO STA.BERNADETHE,22:54
105807,TERMINAL PORTAO (T.FANNY L.VERDE),23:15
108209,ESTAÇÃO FANNY,23:35
105810,TERMINAL PORTAO (T.STA.BERNADETH),23:58
